Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.163920250,0,1,1,1,1,1,1,1
4.163921000,1,1,1,1,1,1,1,1
4.163922375,0,1,1,1,1,1,1,1
4.163923125,0,0,1,1,1,1,1,1
4.163923875,1,0,1,1,1,1,1,1
4.163925250,0,0,1,1,1,1,1,1
4.163926750,1,0,1,1,1,1,1,1
4.163928125,0,0,1,1,1,1,1,1
4.163928875,0,1,1,1,1,1,1,1
4.163929500,1,1,1,1,1,1,1,1
4.163931000,0,1,1,1,1,1,1,1
4.163932375,1,1,1,1,1,1,1,1
4.163933750,0,1,1,1,1,1,1,1
4.163934500,0,0,1,1,1,1,1,1
4.163935250,1,0,1,1,1,1,1,1
4.163936625,0,0,1,1,1,1,1,1
4.163937375,0,1,1,1,1,1,1,1
4.163938000,1,1,1,1,1,1,1,1
4.163939500,0,1,1,1,1,1,1,1
4.163940125,0,0,1,1,1,1,1,1
4.163940875,1,0,1,1,1,1,1,1
4.163942250,0,0,1,1,1,1,1,1
4.163943750,1,0,1,1,1,1,1,1
4.163945125,0,0,1,1,1,1,1,1
4.163945875,0,1,1,1,1,1,1,1
4.163946500,1,1,1,1,1,1,1,1
4.163948000,0,1,1,1,1,1,1,1
4.163948750,0,0,1,1,1,1,1,1
4.163949500,1,0,1,1,1,1,1,1
4.163950875,0,0,1,1,1,1,1,1
4.163952250,1,0,1,1,1,1,1,1
4.163953750,0,0,1,1,1,1,1,1
4.163955125,1,0,1,1,1,1,1,1
4.163956500,0,0,1,1,1,1,1,1
4.163958000,1,0,1,1,1,1,1,1
4.163959375,0,0,1,1,1,1,1,1
4.163960750,1,0,1,1,1,1,1,1
4.163962250,0,0,1,1,1,1,1,1
4.163963625,1,0,1,1,1,1,1,1
4.163965000,0,0,1,1,1,1,1,1
4.163966500,1,0,1,1,1,1,1,1
4.163967875,0,0,1,1,1,1,1,1
4.163969250,1,0,1,1,1,1,1,1
4.163970750,0,0,1,1,1,1,1,1
4.163971375,0,1,1,1,1,1,1,1
4.163972125,1,1,1,1,1,1,1,1
4.163973500,0,1,1,1,1,1,1,1
4.163974375,0,0,1,1,1,1,1,1
4.163975000,1,0,1,1,1,1,1,1
4.163976500,0,0,1,1,1,1,1,1
4.163977875,1,0,1,1,1,1,1,1
4.163979250,0,0,1,1,1,1,1,1
4.163980750,1,0,1,1,1,1,1,1
4.163982125,0,0,1,1,1,1,1,1
4.163983500,1,0,1,1,1,1,1,1
4.163985000,0,0,1,1,1,1,1,1
4.163985625,0,1,1,1,1,1,1,1
4.163986375,1,1,1,1,1,1,1,1
4.163987750,0,1,1,1,1,1,1,1
4.163988500,0,0,1,1,1,1,1,1
4.163989250,1,0,1,1,1,1,1,1
4.163990625,0,0,1,1,1,1,1,1
4.163992000,1,0,1,1,1,1,1,1
4.163993500,0,0,1,1,1,1,1,1
4.163994875,1,0,1,1,1,1,1,1
4.163996250,0,0,1,1,1,1,1,1
4.163997000,0,1,1,1,1,1,1,1
4.163997750,1,1,1,1,1,1,1,1
4.163999125,0,1,1,1,1,1,1,1
4.163999875,0,0,1,1,1,1,1,1
4.164000625,1,0,1,1,1,1,1,1
4.164001375,1,1,1,1,1,1,1,1
4.164003625,1,0,1,1,1,1,1,1
4.164004250,0,0,1,1,1,1,1,1
4.164005750,1,0,1,1,1,1,1,1
4.164007250,0,0,1,1,1,1,1,1
4.164008625,1,0,1,1,1,1,1,1
4.164010000,0,0,1,1,1,1,1,1
